発生日,取引先,税込金額,摘要,インボイス登録番号,仕訳,ファイル名,カード利用,要確認
2025/02/19,株式会社N.A.Cダイニング 炭火焼肉ホルモン酒場,12960,お食事代,T1-0210-0105-6516,交際費,250309204850667.JPG,22,
2025/02/18,東海旅客鉄道株式会社,3280,JR乗車券購入,T3130001031569,旅費交通費,250309204532780.JPG,23,
2025/02/18,突地もったいないプロジェクト魚治,5270,飲食代（クレジットカード利用）,T1013201016928,交際費,250309204746413.JPG,24,
2025/02/18,東日本旅客鉄道株式会社,3280,JR乗車券購入,T90110001029597,旅費交通費,250309205325340.JPG,25,
2025/02/17,クレプト・電光 池袋サンシャイン60通り店,960,飲食代,T6011201015210,会議費,250309204904938.JPG,26,
2025/02/15,鳥貴族 大船東口店,6290,飲食代,なし,交際費,250309204931373.JPG,28,
2025/02/14,東日本旅客鉄道株式会社,3280,JR乗車券2枚購入（浜松町駅にて）,T90110010129597,旅費交通費,250309204539743.JPG,31,
2025/02/14,東海旅客鉄道株式会社,3280,JR乗車券（小田原駅発行）,T3130001031569,旅費交通費,250309204545203.JPG,32,
2025/02/12,東海旅客鉄道株式会社,3280,JR乗車券2枚購入（小田原駅発行）,T3180001031569,旅費交通費,250309204551311.JPG,33,
2025/02/07,東海旅客鉄道株式会社,6560,JR乗車券4枚購入（小田原駅で発行）,T318000013156,旅費交通費,250309204518569.JPG,35,
2025/02/07,榮太樓雪月花株式会社 Eitaro Cafe,760,飲食代,T7010001070357,会議費,250309204723528.JPG,36,
2025/02/04,東海旅客鉄道株式会社,6560,JR乗車券4枚購入,T3180000103156,旅費交通費,250309204617410.JPG,37,
2025/03/05,GO株式会社,1500,タクシー料金,T2011501015896,旅費交通費,GO領収書_20250305_1011.pdf,,
2025/02/25,GO株式会社,900,タクシー料金,T2011501015896,旅費交通費,GO領収書_20250225_2025.pdf,,
2025/02/25,GO株式会社,1200,タクシー料金（神奈川県小田原市）,T2011501015896,旅費交通費,GO領収書_20250225_1303.pdf,,
2025/02/23,GO株式会社,800,タクシー利用料金,T2011501015896,旅費交通費,GO領収書_20250223_2058.pdf,,
2025/02/20,GO株式会社,1200,タクシー利用料金,T2011501015896,旅費交通費,GO領収書_20250220_1419.pdf,,
2025/02/19,GO株式会社,1300,タクシー料金,T201150101589G,旅費交通費,GO領収書_20250219_1454.pdf,,
2025/02/19,GO株式会社,800,タクシー利用料金,T201150101589,旅費交通費,GO領収書_20250219_2009.pdf,,
2025/02/17,GO株式会社,1300,タクシー料金,T201150101589,旅費交通費,GO領収書_20250217_1447.pdf,,
2025/02/16,ANBOS COFFEE ROASTER,72860,品代,なし,消耗品費,250309204915079.JPG,,
2025/02/15,GO株式会社,1600,タクシー利用料金,T201150101589G,旅費交通費,GO領収書_20250215_1334.pdf,,
2025/02/15,JR東日本 小田原駅,750,乗車券購入,なし,旅費交通費,250309204706775.JPG,,
2025/02/15,GO株式会社,800,タクシー利用料金,T201150101589,旅費交通費,GO領収書_20250215_1943.pdf,,
2025/02/15,東海旅客鉄道株式会社,3100,JR乗車券購入,T31300010831565,旅費交通費,250309204526924.JPG,,
2025/02/14,GO株式会社,1900,タクシー利用料金,T2011501015896,旅費交通費,GO領収書_20250214_1100.pdf,,
2025/02/12,東海旅客鉄道株式会社,3280,JR乗車券（小田原駅発行）,T3180001031569,旅費交通費,250309204611403.JPG,,
2025/02/12,kmグループ 三枝通株式会社,1800,タクシー利用料,T1101150100945,旅費交通費,250309204949310.JPG,,
2025/02/12,かおん,1940,お食事代（PayPay支払）,なし,会議費,250309204842443.JPG,,
2025/02/12,小田原六左衛門,586,生姜大根・卵の購入,T1021001035321,消耗品費,250309204959165.JPG,,
2025/02/12,GO株式会社,900,タクシー利用料金,T2011501015896,旅費交通費,GO領収書_20250212_2133.pdf,,
2025/02/08,GO株式会社,1100,タクシー料金,T201150101589G,旅費交通費,GO領収書_20250208_1011.pdf,,
2025/02/07,日本郵便株式会社,金額記載なし,書留・特定記録郵便物等受領証,なし,通信費,250309204802685.JPG,,
2025/02/07,日本郵便株式会社,830,証紙切手料及び特殊取扱（簡易書留）,T1010001112577,支払手数料,250309204730232.JPG,,
2025/02/07,太陽自動車株式会社,700,タクシー運賃,T402100103286,旅費交通費,250309204713896.JPG,,
2025/02/03,GO株式会社,800,タクシー利用料金,T2011501015896,旅費交通費,GO領収書_20250203_1452.pdf,,
2025/02/03,JAL PLAZA,2188,飲食代（宮崎マンゴーの湯、果心のなごみ等）,T2010701007407,会議費,250309204821929.JPG,,
2025/02/03,丸亀製麺 カッパ田原市,830,とろ玉とかしわ天の注文,T6140001115729,会議費,250309204656362.JPG,,
2025/02/03,宮崎空港ビル株式会社,2584,空港内食事（焼肉のたれ、ステーキサラミ、きのこ飯の素、唐辛子）,T1935010101665,会議費,250309204814851.JPG,,
2025/02/03,丸亀製麺 ラスカ小田原,810,うどん・カカアゲ天購入,T6140001115728,会議費,250309204656362.JPG,,
2025/02/01,GO株式会社,1100,タクシー利用料金,T2011501015896,旅費交通費,GO領収書_20250201_0710.pdf,,