"識別フラグ","伝票No","決算","取引日付","借方勘定科目","借方補助科目","借方部門","借方税区分","借方金額","借方税金額","貸方勘定科目","貸方補助科目","貸方部門","貸方税区分","貸方金額","貸方税金額","摘要","番号","期日","タイプ","生成元","仕訳メモ","付箋1","付箋2","調整","借方取引先名","貸方取引先名"
"2000","","","2024/03/04","接待交際費","","","","1850","168","現金","","","","1850","","接待飲食費","","","","","","0","","","ココイチレー小田原中央店","ココイチレー小田原中央店"
"2000","","","2024/07/13","外注費","","","","1320","120","現金","","","","1320","","外注アンケート調査費 クラウドワークス","","","","","","0","","","株式会社クラウドワークス","株式会社クラウドワークス"
"2000","","","2024/07/15","外注費","","","","5500","500","現金","","","","5500","","外注アンケート調査費 クラウドワークス","","","","","","0","","","株式会社クラウドワークス","株式会社クラウドワークス"
"2000","","","2024/07/19","外注費","","","","1100","100","現金","","","","1100","","外注アンケート調査費 クラウドワークス","","","","","","0","","","株式会社クラウドワークス","株式会社クラウドワークス"
"2000","","","2024/08/04","外注費","","","","2640","240","現金","","","","2640","","外注アンケート調査費 クラウドワークス","","","","","","0","","","株式会社クラウドワークス","株式会社クラウドワークス"
"2000","","","2024/09/13","外注費","","","","1320","120","現金","","","","1320","","外注アンケート調査費 クラウドワークス","","","","","","0","","","株式会社クラウドワークス","株式会社クラウドワークス"
"2000","","","2024/05/26","接待交際費","","","","1274","94","現金","","","","1274","","接待贈答費","","","","","","0","","","GIFT KIOSK（JR東海","GIFT KIOSK（JR東海"
"2000","","","2024/02/07","新聞図書費","","","","2618","238","現金","","","","2618","","書籍代","","","","","","0","","","ヨドバシ.com","ヨドバシ.com"
"2000","","","2024/03/24","新聞図書費","","","","3740","340","現金","","","","3740","","書籍代","","","","","","0","","","ヨドバシカメラ","ヨドバシカメラ"
"2000","","","2024/05/26","新聞図書費","","","","4510","410","現金","","","","4510","","書籍代","","","","","","0","","","ヨドバシカメラ","ヨドバシカメラ"
"2000","","","2024/07/28","新聞図書費","","","","3080","280","現金","","","","3080","","書籍代","","","","","","0","","","ヨドバシカメラ","ヨドバシカメラ"
"2000","","","2024/08/10","新聞図書費","","","","2420","220","現金","","","","2420","","書籍代","","","","","","0","","","ヨドバシカメラ","ヨドバシカメラ"
"2000","","","2024/01/06","接待交際費","","","","14248","1295","現金","","","","14248","","接待飲食費","","","","","","0","","","報徳楽座","報徳楽座"
"2000","","","2024/02/17","接待交際費","","","","1620","120","現金","","","","1620","","接待贈答費","","","","","","0","","","TIVOLI ちばりスイーツフ","TIVOLI ちばりスイーツフ"
"2000","","","2024/03/15","接待交際費","","","","6840","621","現金","","","","6840","","接待飲食費","","","","","","0","","","酒と魚と炙焼 新宿ろじ","酒と魚と炙焼 新宿ろじ"
"2000","","","2024/03/28","接待交際費","","","","2214","164","現金","","","","2214","","接待飲食費","","","","","","0","","","TIVOLI ちぼりスイーツフ","TIVOLI ちぼりスイーツフ"
"2000","","","2024/03/28","接待交際費","","","","5480","498","現金","","","","5480","","接待飲食費","","","","","","0","","","炭火やきとり快 小田原駅前店","炭火やきとり快 小田原駅前店"
"2000","","","2024/03/31","接待交際費","","","","14800","1318","現金","","","","14800","","接待飲食費","","","","","","0","","","chinois歩歩路","chinois歩歩路"
"2000","","","2024/04/20","接待交際費","","","","9317","847","現金","","","","9317","","接待飲食費","","","","","","0","","","くるりくるり","くるりくるり"
"2000","","","2024/05/10","接待交際費","","","","6985","635","現金","","","","6985","","接待飲食費","","","","","","0","","","くるりくるり","くるりくるり"
"2000","","","2024/05/20","接待交際費","","","","3150","286","現金","","","","3150","","接待飲食費","","","","","","0","","","175°DENO担担麺 TOK","175°DENO担担麺 TOK"
"2000","","","2024/05/20","接待交際費","","","","1900","172","現金","","","","1900","","接待飲食費","","","","","","0","","","仏蘭西屋 銀座店","仏蘭西屋 銀座店"
"2000","","","2024/05/22","接待交際費","","","","6682","607","現金","","","","6682","","接待飲食費","","","","","","0","","","えん","えん"
"2000","","","2024/05/24","接待交際費","","","","6646","604","現金","","","","6646","","接待飲食費","","","","","","0","","","亀金名店","亀金名店"
"2000","","","2024/06/01","接待交際費","","","","5470","497","現金","","","","5470","","接待飲食費","","","","","","0","","","ITALIAN BAR BAS","ITALIAN BAR BAS"
"2000","","","2024/06/01","接待交際費","","","","1188","88","現金","","","","1188","","接待飲食費","","","","","","0","","","TIVOLI ちほりスイーツフ","TIVOLI ちほりスイーツフ"
"2000","","","2024/06/01","接待交際費","","","","2919","265","現金","","","","2919","","接待飲食費","","","","","","0","","","カラオケ館 野毛店","カラオケ館 野毛店"
"2000","","","2024/06/07","接待交際費","","","","5560","505","現金","","","","5560","","接待飲食費","","","","","","0","","","MORI-MESHI 小田原","MORI-MESHI 小田原"
"2000","","","2024/06/11","接待交際費","","","","40320","0","現金","","","","40320","","接待飲食費","","","","","","0","","","株式会社MCMF MECIMO","株式会社MCMF MECIMO"
"2000","","","2024/06/18","接待交際費","","","","21130","1921","現金","","","","21130","","接待飲食費","","","","","","0","","","わさい寿司","わさい寿司"
"2000","","","2024/06/22","接待交際費","","","","6545","595","現金","","","","6545","","接待飲食費","","","","","","0","","","legalo（株式会社エスアー","legalo（株式会社エスアー"
"2000","","","2024/06/29","接待交際費","","","","5863","533","現金","","","","5863","","接待飲食費","","","","","","0","","","Le Bar ? Vin 52","Le Bar ? Vin 52"
"2000","","","2024/06/29","接待交際費","","","","14509","1166","現金","","","","14509","","接待飲食費","","","","","","0","","","はりだた地どり福わ当合 渋谷","はりだた地どり福わ当合 渋谷"
"2000","","","2024/07/02","接待交際費","","","","3482","312","現金","","","","3482","","接待飲食費","","","","","","0","","","カフェ ラミル（ラスカ小田原店","カフェ ラミル（ラスカ小田原店"
"2000","","","2024/07/05","接待交際費","","","","4812","412","現金","","","","4812","","接待飲食費","","","","","","0","","","青雲","青雲"
"2000","","","2024/07/26","接待交際費","","","","4796","436","現金","","","","4796","","接待飲食費","","","","","","0","","","シュリンプ&オイスターハウス ","シュリンプ&オイスターハウス "
"2000","","","2024/08/07","接待交際費","","","","800","72","現金","","","","800","","接待飲食費","","","","","","0","","","CAF?きょうぶんかん","CAF?きょうぶんかん"
"2000","","","2024/09/07","接待交際費","","","","5940","440","現金","","","","5940","","接待飲食費","","","","","","0","","","TIVOLI ちぼりスイーツフ","TIVOLI ちぼりスイーツフ"
"2000","","","2024/09/10","接待交際費","","","","5820","529","現金","","","","5820","","接待飲食費","","","","","","0","","","若鯱家 アピタ四日市店","若鯱家 アピタ四日市店"
"2000","","","2024/09/11","接待交際費","","","","2780","252","現金","","","","2780","","接待飲食費","","","","","","0","","","酒場森下_内宮前店 飲食","酒場森下_内宮前店 飲食"
"2000","","","2024/09/11","接待交際費","","","","35000","3181","現金","","","","35000","","接待飲食費","","","","","","0","","","料理屋おくやま","料理屋おくやま"
"2000","","","2024/09/12","接待交際費","","","","3260","257","現金","","","","3260","","接待飲食費","","","","","","0","","","若松屋","若松屋"
"2000","","","2024/09/21","接待交際費","","","","17600","1600","現金","","","","17600","","接待飲食費","","","","","","0","","","おくら 新横浜店","おくら 新横浜店"
"2000","","","2024/09/28","接待交際費","","","","4026","366","現金","","","","4026","","接待飲食費","","","","","","0","","","和カフェ chawan","和カフェ chawan"
"2000","","","2024/01/04","通信費","","","","3853","350","現金","","","","3853","","通信費","","","","","","0","","","株式会社NTTドコモ","株式会社NTTドコモ"
"2000","","","2024/01/20","通信費","","","","1512","137","現金","","","","1512","","AI使用料","","","","","","0","","","GitHub, Inc.","GitHub, Inc."
"2000","","","2024/01/27","通信費","","","","3013","274","現金","","","","3013","","AI使用料","","","","","","0","","","OpenAI, LLC","OpenAI, LLC"
"2000","","","2024/02/05","通信費","","","","470","42","現金","","","","470","","郵便料金","","","","","","0","","","日本郵便株式会社","日本郵便株式会社"
"2000","","","2024/02/20","通信費","","","","1526","139","現金","","","","1526","","AI使用料","","","","","","0","","","GitHub, Inc.","GitHub, Inc."
"2000","","","2024/02/27","通信費","","","","3064","279","現金","","","","3064","","AI使用料","","","","","","0","","","OpenAI, LLC","OpenAI, LLC"
"2000","","","2024/02/29","通信費","","","","3853","350","現金","","","","3853","","通信費","","","","","","0","","","株式会社NTTドコモ","株式会社NTTドコモ"
"2000","","","2024/03/06","通信費","","","","490","44","現金","","","","490","","郵便料金","","","","","","0","","","日本郵便株式会社","日本郵便株式会社"
"2000","","","2024/03/16","通信費","","","","3033","276","現金","","","","3033","","AI使用料","","","","","","0","","","Anthropic","Anthropic"
"2000","","","2024/03/20","通信費","","","","1535","140","現金","","","","1535","","AI使用料","","","","","","0","","","GitHub, Inc.","GitHub, Inc."
"2000","","","2024/04/01","通信費","","","","3103","282","現金","","","","3103","","AI使用料","","","","","","0","","","OpenAI, LLC","OpenAI, LLC"
"2000","","","2024/04/16","通信費","","","","3158","287","現金","","","","3158","","AI使用料","","","","","","0","","","Anthropic","Anthropic"
"2000","","","2024/04/20","通信費","","","","1581","144","現金","","","","1581","","AI使用料","","","","","","0","","","GitHub, Inc.","GitHub, Inc."
"2000","","","2024/04/30","通信費","","","","3852","350","現金","","","","3852","","通信費","","","","","","0","","","株式会社NTTドコモ","株式会社NTTドコモ"
"2000","","","2024/05/01","通信費","","","","3219","293","現金","","","","3219","","AI使用料","","","","","","0","","","OpenAI, LLC","OpenAI, LLC"
"2000","","","2024/05/16","通信費","","","","3201","291","現金","","","","3201","","AI使用料","","","","","","0","","","Anthropic","Anthropic"
"2000","","","2024/06/01","通信費","","","","3217","292","現金","","","","3217","","AI使用料","","","","","","0","","","OpenAI, LLC","OpenAI, LLC"
"2000","","","2024/06/16","通信費","","","","3236","294","現金","","","","3236","","AI使用料","","","","","","0","","","Anthropic","Anthropic"
"2000","","","2024/07/01","通信費","","","","3853","350","現金","","","","3853","","通信費","","","","","","0","","","株式会社NTTドコモ","株式会社NTTドコモ"
"2000","","","2024/07/01","通信費","","","","3307","301","現金","","","","3307","","AI使用料","","","","","","0","","","OpenAI, LLC","OpenAI, LLC"
"2000","","","2024/07/16","通信費","","","","3239","294","現金","","","","3239","","AI使用料","","","","","","0","","","Anthropic","Anthropic"
"2000","","","2024/08/01","通信費","","","","3084","280","現金","","","","3084","","AI使用料","","","","","","0","","","OpenAI, LLC","OpenAI, LLC"
"2000","","","2024/08/16","通信費","","","","3054","278","現金","","","","3054","","AI使用料","","","","","","0","","","Anthropic","Anthropic"
"2000","","","2024/09/01","通信費","","","","2990","272","現金","","","","2990","","AI使用料","","","","","","0","","","OpenAI, LLC","OpenAI, LLC"
"2000","","","2024/09/02","通信費","","","","3853","350","現金","","","","3853","","通信費","","","","","","0","","","株式会社NTTドコモ","株式会社NTTドコモ"
"2000","","","2024/09/16","通信費","","","","2900","264","現金","","","","2900","","AI使用料","","","","","","0","","","Anthropic","Anthropic"
"2000","","","2024/09/16","通信費","","","","1180","107","現金","","","","1180","","配送料","","","","","","0","","","佐川急便 小田原営業所","佐川急便 小田原営業所"
"2000","","","2024/09/20","通信費","","","","1472","134","現金","","","","1472","","AI使用料","","","","","","0","","","GitHub, Inc.","GitHub, Inc."
"2000","","","2024/10/31","通信費","","","","3853","350","現金","","","","3853","","通信費","","","","","","0","","","株式会社NTTドコモ","株式会社NTTドコモ"
"2000","","","2024/01/02","旅費交通費","","","","2000","181","現金","","","","2000","","電車代・特急券代","","","","","","0","","","小田急電鉄 新宿駅","小田急電鉄 新宿駅"
"2000","","","2024/01/18","旅費交通費","","","","2720","247","現金","","","","2720","","電車代・特急券代","","","","","","0","","","小田急電鉄","小田急電鉄"
"2000","","","2024/01/19","旅費交通費","","","","650","59","現金","","","","650","","電車代・特急券代","","","","","","0","","","小田急電鉄","小田急電鉄"
"2000","","","2024/01/19","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/01/23","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/01/27","旅費交通費","","","","3100","282","現金","","","","3100","","電車代・特急券代","","","","","","0","","","JR東日本","JR東日本"
"2000","","","2024/02/19","旅費交通費","","","","1160","105","現金","","","","1160","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/02/19","旅費交通費","","","","780","71","現金","","","","780","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/02/22","旅費交通費","","","","900","82","現金","","","","900","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/02/22","旅費交通費","","","","900","81","現金","","","","900","","タクシー代","","","","","","0","","","真金タクシー株式会社","真金タクシー株式会社"
"2000","","","2024/02/22","旅費交通費","","","","690","63","現金","","","","690","","タクシー代","","","","","","0","","","太陽自動車株式会社","太陽自動車株式会社"
"2000","","","2024/02/26","旅費交通費","","","","1880","171","現金","","","","1880","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/02/26","旅費交通費","","","","1880","171","現金","","","","1880","","タクシー代","","","","","","0","","","伊豆箱根交通株式会社","伊豆箱根交通株式会社"
"2000","","","2024/02/26","旅費交通費","","","","1770","161","現金","","","","1770","","タクシー代","","","","","","0","","","門川ハイヤー有限会社","門川ハイヤー有限会社"
"2000","","","2024/02/27","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/02/29","旅費交通費","","","","710","65","現金","","","","710","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/03/01","旅費交通費","","","","6560","596","現金","","","","6560","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/03/04","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/03/04","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/03/05","旅費交通費","","","","6560","596","現金","","","","6560","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/03/05","旅費交通費","","","","6560","596","現金","","","","6560","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社 小田原駅","東海旅客鉄道株式会社 小田原駅"
"2000","","","2024/03/06","旅費交通費","","","","3036","276","現金","","","","3036","","電車代・特急券代","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/03/06","旅費交通費","","","","356","32","現金","","","","356","","電車代・特急券代","","","","","","0","","","東京地下鉄株式会社","東京地下鉄株式会社"
"2000","","","2024/03/13","旅費交通費","","","","18600","1691","現金","","","","18600","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/03/14","旅費交通費","","","","3036","276","現金","","","","3036","","電車代・特急券代","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/03/14","旅費交通費","","","","356","32","現金","","","","356","","電車代・特急券代","","","","","","0","","","東京地下鉄株式会社","東京地下鉄株式会社"
"2000","","","2024/03/17","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/03/17","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/03/18","旅費交通費","","","","800","73","現金","","","","800","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/03/19","旅費交通費","","","","6560","596","現金","","","","6560","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/03/20","旅費交通費","","","","6560","596","現金","","","","6560","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/03/21","旅費交通費","","","","3036","276","現金","","","","3036","","電車代・特急券代","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/03/21","旅費交通費","","","","356","32","現金","","","","356","","電車代・特急券代","","","","","","0","","","東京地下鉄株式会社","東京地下鉄株式会社"
"2000","","","2024/03/22","旅費交通費","","","","6560","596","現金","","","","6560","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/03/26","旅費交通費","","","","6560","596","現金","","","","6560","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/03/25","旅費交通費","","","","3036","276","現金","","","","3036","","電車代・特急券代","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/03/25","旅費交通費","","","","356","32","現金","","","","356","","電車代・特急券代","","","","","","0","","","東京地下鉄株式会社","東京地下鉄株式会社"
"2000","","","2024/04/03","旅費交通費","","","","6560","596","現金","","","","6560","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/04/03","旅費交通費","","","","3036","276","現金","","","","3036","","電車代・特急券代","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/04/10","旅費交通費","","","","6560","596","現金","","","","6560","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/04/10","旅費交通費","","","","3036","276","現金","","","","3036","","電車代・特急券代","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/04/17","旅費交通費","","","","6560","596","現金","","","","6560","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/04/17","旅費交通費","","","","3036","276","現金","","","","3036","","電車代・特急券代","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/04/18","旅費交通費","","","","3100","282","現金","","","","3100","","電車代・特急券代","","","","","","0","","","JR東日本","JR東日本"
"2000","","","2024/04/18","旅費交通費","","","","3100","282","現金","","","","3100","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/04/24","旅費交通費","","","","6560","596","現金","","","","6560","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/04/24","旅費交通費","","","","3036","276","現金","","","","3036","","電車代・特急券代","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/04/26","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/04/28","旅費交通費","","","","1100","100","現金","","","","1100","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/04/28","旅費交通費","","","","1500","136","現金","","","","1500","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/04/29","旅費交通費","","","","800","73","現金","","","","800","","タクシー代","","","","","","0","","","太陽自動車株式会社","太陽自動車株式会社"
