"識別フラグ","伝票No","決算","取引日付","借方勘定科目","借方補助科目","借方部門","借方税区分","借方金額","借方税金額","貸方勘定科目","貸方補助科目","貸方部門","貸方税区分","貸方金額","貸方税金額","摘要","番号","期日","タイプ","生成元","仕訳メモ","付箋1","付箋2","調整","借方取引先名","貸方取引先名"
"2000","","","2024/05/01","旅費交通費","","","","1600","145","現金","","","","1600","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/05/07","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/05/14","旅費交通費","","","","1500","136","現金","","","","1500","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/05/16","旅費交通費","","","","800","73","現金","","","","800","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/05/22","旅費交通費","","","","1300","118","現金","","","","1300","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/05/22","旅費交通費","","","","800","73","現金","","","","800","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/05/24","旅費交通費","","","","1600","145","現金","","","","1600","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/05/24","旅費交通費","","","","1600","145","現金","","","","1600","","タクシー代","","","","","","0","","","東京七福タクシー（株）","東京七福タクシー（株）"
"2000","","","2024/05/24","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/05/26","接待交際費","","","","1274","94","現金","","","","1274","","接待贈答費","","","","","","0","","","株式会社JR東海リテイリング・","株式会社JR東海リテイリング・"
"2000","","","2024/05/26","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/05/26","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/05/27","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/06/02","旅費交通費","","","","6560","596","現金","","","","6560","","電車代・特急券代","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/06/03","旅費交通費","","","","6560","596","現金","","","","6560","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/06/06","旅費交通費","","","","6560","596","現金","","","","6560","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/06/10","旅費交通費","","","","1100","100","現金","","","","1100","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/06/10","旅費交通費","","","","3280","0","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/06/10","旅費交通費","","","","3280","297","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/06/11","旅費交通費","","","","1400","127","現金","","","","1400","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/06/13","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/06/13","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/06/14","旅費交通費","","","","1600","145","現金","","","","1600","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/06/17","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/06/17","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/06/18","旅費交通費","","","","3100","282","現金","","","","3100","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/06/18","旅費交通費","","","","3100","282","現金","","","","3100","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/06/19","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/06/20","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/06/20","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/06/24","旅費交通費","","","","6560","596","現金","","","","6560","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/06/24","旅費交通費","","","","700","64","現金","","","","700","","タクシー代","","","","","","0","","","富士箱根交通株式会社","富士箱根交通株式会社"
"2000","","","2024/06/26","旅費交通費","","","","800","73","現金","","","","800","","タクシー代","","","","","","0","","","報徳自動車株式会社","報徳自動車株式会社"
"2000","","","2024/06/27","旅費交通費","","","","6560","596","現金","","","","6560","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/06/29","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/07/01","旅費交通費","","","","6560","596","現金","","","","6560","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/07/04","旅費交通費","","","","6560","596","現金","","","","6560","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/07/07","旅費交通費","","","","3200","291","現金","","","","3200","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/07/08","旅費交通費","","","","6560","596","現金","","","","6560","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/07/11","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/07/11","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/07/16","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/07/16","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/07/17","旅費交通費","","","","1000","91","現金","","","","1000","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/07/17","旅費交通費","","","","800","73","現金","","","","800","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/07/17","旅費交通費","","","","2000","181","現金","","","","2000","","電車代・特急券代","","","","","","0","","","新宿駅","新宿駅"
"2000","","","2024/07/18","旅費交通費","","","","8900","809","現金","","","","8900","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/07/18","旅費交通費","","","","8900","810","現金","","","","8900","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/07/22","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/07/24","旅費交通費","","","","1200","109","現金","","","","1200","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/07/24","旅費交通費","","","","1400","127","現金","","","","1400","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/07/24","旅費交通費","","","","1100","100","現金","","","","1100","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/07/24","旅費交通費","","","","1550","141","現金","","","","1550","","電車代・特急券代","","","","","","0","","","JR東日本 小田原駅","JR東日本 小田原駅"
"2000","","","2024/07/25","旅費交通費","","","","700","64","現金","","","","700","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/07/25","旅費交通費","","","","1700","155","現金","","","","1700","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/07/26","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/07/29","旅費交通費","","","","6560","596","現金","","","","6560","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/07/30","旅費交通費","","","","1500","136","現金","","","","1500","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/07/31","旅費交通費","","","","800","73","現金","","","","800","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/08/03","旅費交通費","","","","1100","100","現金","","","","1100","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/08/03","旅費交通費","","","","800","73","現金","","","","800","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/08/07","旅費交通費","","","","1100","100","現金","","","","1100","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/08/08","旅費交通費","","","","1200","109","現金","","","","1200","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/08/09","旅費交通費","","","","900","82","現金","","","","900","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/08/10","旅費交通費","","","","1200","109","現金","","","","1200","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/08/10","旅費交通費","","","","1000","91","現金","","","","1000","","電車代・特急券代","","","","","","0","","","JR東日本 小田原駅","JR東日本 小田原駅"
"2000","","","2024/08/10","旅費交通費","","","","800","73","現金","","","","800","","タクシー代","","","","","","0","","","報徳自動車株式会社","報徳自動車株式会社"
"2000","","","2024/08/13","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/08/13","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/08/15","旅費交通費","","","","6560","596","現金","","","","6560","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/08/19","旅費交通費","","","","1200","109","現金","","","","1200","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/08/19","旅費交通費","","","","1000","91","現金","","","","1000","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/08/20","旅費交通費","","","","1000","91","現金","","","","1000","","電車代・特急券代","","","","","","0","","","小田急電鉄 新宿駅","小田急電鉄 新宿駅"
"2000","","","2024/08/20","旅費交通費","","","","900","82","現金","","","","900","","タクシー代","","","","","","0","","","報徳自動車(株)","報徳自動車(株)"
"2000","","","2024/08/22","旅費交通費","","","","800","73","現金","","","","800","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/08/23","旅費交通費","","","","3200","291","現金","","","","3200","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/08/25","旅費交通費","","","","1600","145","現金","","","","1600","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/08/25","旅費交通費","","","","1700","155","現金","","","","1700","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/08/29","旅費交通費","","","","1200","109","現金","","","","1200","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/08/29","旅費交通費","","","","2400","218","現金","","","","2400","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/08/29","旅費交通費","","","","900","82","現金","","","","900","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/08/29","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/08/29","旅費交通費","","","","3100","282","現金","","","","3100","","電車代・特急券代","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/09/02","旅費交通費","","","","900","82","現金","","","","900","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/09/02","旅費交通費","","","","700","63","現金","","","","700","","タクシー代","","","","","","0","","","kmグループ 太陽自動車株式会","kmグループ 太陽自動車株式会"
"2000","","","2024/09/02","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/09/02","旅費交通費","","","","3280","298","現金","","","","3280","","電車代・特急券代","","","","","","0","","","東日本旅客鉄道株式会社","東日本旅客鉄道株式会社"
"2000","","","2024/09/03","旅費交通費","","","","800","73","現金","","","","800","","タクシー代","","","","","","0","","","箱根観光自動車株式会社","箱根観光自動車株式会社"
"2000","","","2024/09/03","旅費交通費","","","","1100","100","現金","","","","1100","","タクシー代","","","","","","0","","","富士箱根交通株","富士箱根交通株"
"2000","","","2024/09/04","旅費交通費","","","","1200","109","現金","","","","1200","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/09/05","旅費交通費","","","","800","73","現金","","","","800","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/09/07","旅費交通費","","","","800","73","現金","","","","800","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/09/09","旅費交通費","","","","1100","100","現金","","","","1100","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/09/09","旅費交通費","","","","1280","116","現金","","","","1280","","電車代・特急券代","","","","","","0","","","近畿日本鉄道株式会社","近畿日本鉄道株式会社"
"2000","","","2024/09/09","旅費交通費","","","","8370","761","現金","","","","8370","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/09/09","旅費交通費","","","","4190","381","現金","","","","4190","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/09/11","旅費交通費","","","","1070","97","現金","","","","1070","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/09/11","旅費交通費","","","","1070","97","現金","","","","1070","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/09/11","旅費交通費","","","","1280","116","現金","","","","1280","","タクシー代","","","","","","0","","","株式会社三交タクシー","株式会社三交タクシー"
"2000","","","2024/09/11","旅費交通費","","","","4440","404","現金","","","","4440","","電車代・特急券代","","","","","","0","","","近畿日本鉄道株式会社","近畿日本鉄道株式会社"
"2000","","","2024/09/11","旅費交通費","","","","1070","97","現金","","","","1070","","タクシー代","","","","","","0","","","三重近鉄タクシー株式会社","三重近鉄タクシー株式会社"
"2000","","","2024/09/12","旅費交通費","","","","2150","195","現金","","","","2150","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/09/13","旅費交通費","","","","58070","5238","現金","","","","58070","","出張宿泊費","","","","","","0","","","株式会社KPG HOTEL&R","株式会社KPG HOTEL&R"
"2000","","","2024/09/13","旅費交通費","","","","4260","387","現金","","","","4260","","電車代・特急券代","","","","","","0","","","近畿日本鉄道株式会社","近畿日本鉄道株式会社"
"2000","","","2024/09/13","旅費交通費","","","","1740","158","現金","","","","1740","","電車代・特急券代","","","","","","0","","","近畿日本鉄道株式会社","近畿日本鉄道株式会社"
"2000","","","2024/09/13","旅費交通費","","","","420","38","現金","","","","420","","電車代・特急券代","","","","","","0","","","西日本旅客鉄道株式会社","西日本旅客鉄道株式会社"
"2000","","","2024/09/13","旅費交通費","","","","9300","845","現金","","","","9300","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/09/13","旅費交通費","","","","9300","845","現金","","","","9300","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/09/17","旅費交通費","","","","800","73","現金","","","","800","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/09/18","旅費交通費","","","","1200","109","現金","","","","1200","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/09/18","旅費交通費","","","","1600","145","現金","","","","1600","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/09/18","旅費交通費","","","","1500","136","現金","","","","1500","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/09/18","旅費交通費","","","","3450","314","現金","","","","3450","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/09/18","旅費交通費","","","","1600","145","現金","","","","1600","","タクシー代","","","","","","0","","","富士箱根交通株式会社","富士箱根交通株式会社"
"2000","","","2024/09/20","旅費交通費","","","","1200","109","現金","","","","1200","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/09/20","旅費交通費","","","","900","82","現金","","","","900","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
"2000","","","2024/09/21","旅費交通費","","","","3960","360","現金","","","","3960","","電車代・特急券代","","","","","","0","","","東海旅客鉄道株式会社","東海旅客鉄道株式会社"
"2000","","","2024/09/26","旅費交通費","","","","900","81","現金","","","","900","","タクシー代","","","","","","0","","","太陽自動車株式会社","太陽自動車株式会社"
"2000","","","2024/10/12","通信費","","","","4666","424","現金","","","","4666","","ソフトウェア使用料","","","","","","0","","","Adobe Systems S","Adobe Systems S"
"2000","","","2024/11/12","通信費","","","","4666","424","現金","","","","4666","","ソフトウェア使用料","","","","","","0","","","Adobe Systems S","Adobe Systems S"
"2000","","","2024/12/12","通信費","","","","4666","424","現金","","","","4666","","ソフトウェア使用料","","","","","","0","","","Adobe Systems S","Adobe Systems S"
"2000","","","2024/05/12","通信費","","","","4666","424","現金","","","","4666","","ソフトウェア使用料","","","","","","0","","","Adobe Systems S","Adobe Systems S"
"2000","","","2024/06/12","通信費","","","","4666","424","現金","","","","4666","","ソフトウェア使用料","","","","","","0","","","Adobe Systems S","Adobe Systems S"
"2000","","","2024/07/12","通信費","","","","4666","424","現金","","","","4666","","ソフトウェア使用料","","","","","","0","","","Adobe Systems S","Adobe Systems S"
"2000","","","2024/08/12","通信費","","","","4666","424","現金","","","","4666","","ソフトウェア使用料","","","","","","0","","","Adobe Systems S","Adobe Systems S"
"2000","","","2024/09/12","通信費","","","","4666","424","現金","","","","4666","","ソフトウェア使用料","","","","","","0","","","Adobe Systems S","Adobe Systems S"
"2000","","","2024/02/19","旅費交通費","","","","1250","114","現金","","","","1250","","タクシー代","","","","","","0","","","GO株式会社","GO株式会社"
